Unnamed: 0.1,Unnamed: 0,French,English
0,0,histoire,history
1,1,seulement,only
2,2,genre,kind
3,3,mois,month
4,4,frère,brother
5,5,laisser,let
6,6,aucun,no
7,7,laisse,leash
8,8,eux,them
9,9,chaque,each
10,10,parlé,speak
11,11,arrivé,come
12,12,devrait,should
13,13,bébé,baby
14,14,heures,hours
15,15,vont,will
16,16,pendant,while
17,17,revoir,meet again
18,18,aucune,any
19,19,parle,speak
20,20,savais,knew
21,21,étaient,were
22,22,voici,here is
23,23,pourrais,could
24,24,affaire,case
25,25,donner,give
26,26,type,type
27,27,leurs,their
28,28,corps,body
29,29,endroit,place
30,30,dont,whose
31,31,main,hand
32,32,première,first
33,33,pouvoir,power
34,34,vieux,old
35,35,tiens,here
36,36,matin,morning
37,37,tellement,so much
38,38,point,point
39,39,venu,came
40,40,suite,after
41,41,vers,towards
42,42,demandé,request
43,43,belle,beautiful
44,44,droit,law
45,45,aimerais,would like to
46,46,mari,husband
47,47,cause,cause
48,48,attendez,Wait
49,49,parti,left
50,50,nouvelle,new
52,52,arrêter,Stop
53,53,dirait,would say
54,54,terre,Earth
55,55,donne,given
56,57,fin,end
57,58,croire,believe
58,59,plutôt,rather
59,60,aura,will have
60,61,filles,girls
61,62,jouer,to play
62,63,bureau,office
